Post ID,Category,Duration (sec),Publish time,Post type,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18367425319140082,Living Aboard,46,01/07/2025 06:30,IG reel,Lifetime,3093,2325,69,19,1,2,3
18041834792057218,Review,0,01/08/2025 16:24,IG carousel,Lifetime,1648,925,95,2,0,3,2
18095944333504221,Living Aboard,14,01/10/2025 07:15,IG reel,Lifetime,4836,3808,130,13,1,3,3
17863712913244250,Living Aboard,9,01/12/2025 06:53,IG reel,Lifetime,238915,178702,9780,6838,15,3,382
18046410413184721,Relationships,20,01/20/2025 07:41,IG reel,Lifetime,2597,1749,52,2,0,0,6
18045161159017724,Relationships,7,01/23/2025 05:55,IG reel,Lifetime,4315,2616,132,8,0,7,6
18473823307029448,Relationships,10,02/05/2025 05:09,IG reel,Lifetime,2762,2071,77,7,0,1,3
17929141019901471,Relationships,12,02/14/2025 08:49,IG reel,Lifetime,4545,3113,285,12,2,9,9
17893034796174530,SelfGrowth,30,02/16/2025 06:56,IG reel,Lifetime,2081,1588,89,8,1,0,3
17861149410280450,Review,48,02/16/2025 16:39,IG reel,Lifetime,3611,2504,67,26,1,1,12
18058061972498669,Relationships,13,02/18/2025 05:09,IG reel,Lifetime,6239,4203,220,13,0,0,20
18025153181380568,Living aboard,7,02/19/2025 05:35,IG reel,Lifetime,11614,8286,319,9,0,2,9
18271172428254688,Living aboard,55,02/20/2025 03:00,IG reel,Lifetime,2705,1880,87,11,3,1,13
17908342967997752,Living aboard,58,02/25/2025 05:00,IG reel,Lifetime,2154,1402,63,20,1,3,2
18052851272170607,Living aboard,24,02/27/2025 04:24,IG reel,Lifetime,2788,2204,67,9,0,2,3
17850641625373205,Relationships,15,02/28/2025 04:13,IG reel,Lifetime,3460,2341,59,5,0,2,2
18056779045893520,Living aboard,20,02/28/2025 17:28,IG reel,Lifetime,1073,634,25,0,0,2,1
18072617182790580,Living aboard,13,03/02/2025 07:51,IG reel,Lifetime,4156,3001,198,11,0,4,6
18059126660296346,Living aboard,0,03/02/2025 15:19,IG carousel,Lifetime,1103,593,52,0,0,1,0
18387199240128602,Relationships,15,03/03/2025 05:35,IG reel,Lifetime,4059,2892,105,10,2,5,4
17895366141172376,Living Aboard,0,03/03/2025 21:56,IG carousel,Lifetime,1334,656,56,0,0,0,0
18061873967058895,Living Aboard,0,03/08/2025 18:15,IG carousel,Lifetime,1024,548,63,0,1,1,0
18149482114363573,Relationships,43,03/15/2025 07:11,IG reel,Lifetime,424975,319722,35238,11497,60,5,2151
18473398252070587,Living aboard,60,03/15/2025 16:46,IG reel,Lifetime,4060,3036,118,6,1,1,10
18075018937750069,Review,24,03/16/2025 14:26,IG reel,Lifetime,3340,2630,52,4,0,4,4
18021393902482199,Living aboard,24,03/19/2025 07:18,IG reel,Lifetime,4021,3090,113,26,0,2,7
18049445486206494,Relationships,15,03/23/2025 07:18,IG reel,Lifetime,5079,4211,236,28,2,2,12
18036251924275434,SelfGrowth,24,03/27/2025 07:59,IG reel,Lifetime,6867,5562,406,31,3,3,28
18057227798281271,SelfGrowth,12,04/05/2025 07:09,IG reel,Lifetime,3485,2693,119,27,0,1,11
17971888511846143,Relationships,7,04/27/2025 06:32,IG reel,Lifetime,209744,134847,11839,4780,16,2,296
18299457460245057,Review,51,04/26/2025 08:03,IG reel,Lifetime,4884,3319,137,66,8,6,21
18080575564707844,Living aboard,12,04/25/2025 08:22,IG reel,Lifetime,3124,2392,61,11,3,0,1
18042478106577711,Review,81,04/19/2025 21:05,IG reel,Lifetime,5926,4275,108,50,3,6,16
